respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.1261923450235499,0.3786916057242298
26708,0.1261923450235499,0.3786916057242298
26709,0.18316530469265696,0.34814436052575753
26710,0.2127954569234341,0.5495281365208738
26711,0.3930133083510524,0.6307796452427775
26712,0.3783827553969849,0.6047096306510292
26713,0.2127954569234341,0.5495281365208738
26714,0.17844065887958246,0.3490995296868173
26715,0.24202080579255986,0.5997960563197555
26716,0.2127954569234341,0.5495281365208738
26717,0.125208330562991,0.33063767397683935
26718,0.1734139044887209,0.33696168400997983
26719,0.3930133083510524,0.6307796452427775
26720,0.15591634702400592,0.43726103801719
26721,0.12190390332437753,0.23319109901400736
26722,0.2717055310421335,0.4971833174240159
26723,0.2127954569234341,0.5495281365208738
26724,0.2127954569234341,0.5495281365208738
26725,0.125208330562991,0.33063767397683935
26726,0.15531971356845153,0.30388813132201103
26727,0.2127954569234341,0.5495281365208738
26728,0.1479605853264724,0.4103011273313109
26729,0.6136386043808258,0.8477766174762842
26730,0.2127954569234341,0.5495281365208738
26731,0.2127954569234341,0.5495281365208738
26732,0.14738907968183457,0.2810446099134906
26733,0.43336404372144977,0.6773049840196671
26734,0.24003072809597442,0.4459327515960182
26735,0.17162565491757742,0.35797474179564837
26736,0.16967910849584436,0.3772606170691076
26737,0.43336404372144977,0.6773049840196671
26738,0.1591322205497032,0.3462866754113743
26739,0.3930133083510524,0.6307796452427775
26740,0.16085555524348133,0.3552017635499376
26741,0.2717055310421335,0.4971833174240159
26742,0.1524223182856523,0.4039541656019142
26743,0.1734139044887209,0.33696168400997983
26744,0.16473956820726102,0.312748980566215
26745,0.2127954569234341,0.5495281365208738
26746,0.17162565491757742,0.35797474179564837
26747,0.1985950793539228,0.38437662731739275
26748,0.12190390332437753,0.23319109901400736
26749,0.22894711289201744,0.41883611683695576
26750,0.2127954569234341,0.5495281365208738
26751,0.3783827553969849,0.6047096306510292
26752,0.24202080579255986,0.5997960563197555
26753,0.2127954569234341,0.5495281365208738
26754,0.3930133083510524,0.6307796452427775
26755,0.2127954569234341,0.5495281365208738
26756,0.16967910849584436,0.3772606170691076
26757,0.11612213380040103,0.3785482558982049
26758,0.43336404372144977,0.6773049840196671
26759,0.20263413001251532,0.5220679515926703
26760,0.18058418558437625,0.38373377191527974
26761,0.2127954569234341,0.5495281365208738
26762,0.2127954569234341,0.5495281365208738
26763,0.17844065887958246,0.3490995296868173
26764,0.16473956820726102,0.312748980566215
26765,0.22894711289201744,0.41883611683695576
26766,0.16085555524348133,0.3552017635499376
